ano,mun,tipo_parto,qtde_partos,id_option_f1,nome_option_f1,id_option_f2,nome_option_f2,id_option_f3,nome_option_f3,id_option_f7,nome_option_f7
2022.0,520860,Cesárea,230,520860.0,Goianésia,13.0,São Patrício II,1.0,Centro Norte,2022.0,2022
2025.0,520520,Vaginal,28,520520.0,Caturaí,1.0,Central,4.0,Centro Oeste,2025.0,2025
2014.0,522028,Cesárea,10,522028.0,São Patrício,14.0,São Patrício I,1.0,Centro Norte,2014.0,2014
2015.0,521170,Vaginal,89,521170.0,Jandaia,3.0,Centro Sul,5.0,Centro Sudeste,2015.0,2015
2015.0,521483,Cesárea,7,521483.0,Nova Crixás,11.0,Rio Vermelho,4.0,Centro Oeste,2015.0,2015
2015.0,522000,Cesárea,32,522000.0,São João d'Aliança,7.0,Entorno Norte,3.0,Nordeste,2015.0,2015
2022.0,520551,Vaginal,142,520551.0,Cocalzinho de Goiás,5.0,Pireneus,1.0,Centro Norte,2022.0,2022
2022.0,520630,Vaginal,16,520630.0,Cristianópolis,3.0,Centro Sul,5.0,Centro Sudeste,2022.0,2022
1994.0,521971,Vaginal,19,521971.0,Santo Antônio da Barra,2.0,Sudoeste I,2.0,Sudoeste,1994.0,1994
2022.0,521350,Cesárea,9,521350.0,Monte Alegre de Goiás,9.0,Nordeste I,3.0,Nordeste,2022.0,2022
2023.0,521460,Cesárea,79,521460.0,Niquelândia,4.0,Serra da Mesa,1.0,Centro Norte,2023.0,2023
2007.0,520430,Vaginal,134,520430.0,Caçu,2.0,Sudoeste I,2.0,Sudoeste,2007.0,2007
2001.0,520915,Vaginal,39,520915.0,Gouvelândia,17.0,Sul,5.0,Centro Sudeste,2001.0,2001
